Timestamp,Download Speed (Mbps),Upload Speed (Mbps),Ping (ms),Jitter (ms),Packet Loss (%)
12/01/2024 17:41,95.91,23.00,13.94,1.57,0.00
12/01/2024 17:44,92.94,23.53,15.11,1.52,0.00
12/01/2024 17:47,86.11,22.80,55.12,9.45,0.00
12/01/2024 17:48,100.47,23.03,22.09,8.05,0.00
12/01/2024 18:04,79.62,22.83,15.12,2.17,0.00
12/01/2024 18:19,86.97,23.13,20.13,5.66,0.00
12/01/2024 18:25,76.20,22.49,15.34,2.13,0.00
12/01/2024 18:40,82.49,23.17,14.92,5.67,0.00
12/03/2024 20:16,35.82,18.25,17.78,2.34,0.48
12/03/2024 20:19,78.97,19.61,16.18,2.57,0.00
12/03/2024 20:24,90.35,23.06,17.15,2.10,0.00
12/03/2024 20:40,84.97,23.27,17.41,3.31,0.00
12/03/2024 20:49,95.43,22.55,15.34,0.88,0.00
12/03/2024 20:50,92.26,23.40,18.55,6.78,0.00
12/03/2024 20:54,91.05,23.53,36.57,2.56,0.00
12/03/2024 20:55,85.98,20.37,14.96,2.37,0.00
12/03/2024 20:56,86.39,23.26,13.63,0.20,0.51
12/03/2024 21:06,59.38,23.05,16.45,4.76,0.00
12/03/2024 21:13,55.58,22.23,16.25,5.31,0.00
12/03/2024 21:15,39.39,22.85,54.58,24.60,0.00
